w,c,zh,en,us,core,ex,exz
counterbalance,"'kaʊntə,bæl(ə)ns",n. 平衡，平衡力；v. 使平衡，抵销,"n. Something that is a counterbalance to something else counterbalances that thing；v. to have an equal and opposite effect to something such as a change, feeling etc",",kaʊntɚ'bæləns",,...organizations set up as a counterbalance to groups allied to the ANC.,...作为对与非洲人国民大会联盟团体制衡而成立的各种组织。
kit,kɪt,n. (士兵)所有装备，成套工具；v. 发给装备,"n. a set of tools, equipment etc that you use for a particular purpose or activity",,"【短语】elisa kit (酶联免疫试剂盒（Enzyme Linked Immunosorbent Assay Kit）), tool kit (工具箱), repair kit (重复工具包；维修工具；工作服)",Sally keeps her make-up kit in her bag.,萨莉把化妆包放在手提包里。
shrub,ʃrʌb,n. 灌木，灌木丛,n. a small bush with several woody stems,ʃrʌb,【记忆】sh + rub(擦伤) → 灌木擦伤皮肤 → 灌木,...flowering shrubs.,…开花的灌木。
sceptical,'skeptɪk(ə)l,adj. 怀疑的，表示疑惑的,adj. tending to disagree with what other people tell you,'skeptikəl,,"‘You can trust me,’ he said. Jane looked sceptical.",“你可以相信我。”他说。而简看上去一脸怀疑。
comprise,kəm'praɪz,n. (止血用)敷布,,kəm'praɪz,【记忆】com(共同) + pris(抓住) + e → 共同抓住 → 包含 | 【短语】be comprised of (由…组成),,
pathetic,pə'θetɪk,adj. 可怜的，悲惨的；不适当的,adj. making you feel pity or sympathy,pə'θɛtɪk,,The child looked a pathetic sight.,那个孩子看上去很可怜。
mall,mæl; mɔːl; mɒl,n. 大型购物中心,"n. a large area where there are a lot of shops, usually a covered area where cars are not allowed",mɔl,"【短语】shopping mall (大商场，大型购物中心), pedestrian mall (步行街), national mall (国家广场)",Let’s meet at the mall and go see a movie.,我们在购物中心碰头，然后去看电影吧。
manipulate,mə'nɪpjʊleɪt,v. 熟练地使用；操纵,"v. to make someone think and behave exactly as you want them to, by skilfully deceiving or influencing them",mə'nɪpjulet,【记忆】mani(手) + pul(拉) + ate → 用手拉 → 处理； 操纵 | 【短语】manipulate data (操作数据),He was one of those men who manipulated people.,他是那种要摆布别人的人。
rational,'ræʃ(ə)n(ə)l,adj. 有推理能力的；合理的,"adj. rational thoughts, decisions etc are based on reasons rather than emotions",'ræʃnəl,"【短语】rational design (合理的设计), rational choice (理性选择；理性抉择), rational analysis (示构分析；示性分析)",Parents need to be fully informed so they can make a rational decision.,父母需要充分了解情况，这样才可以作出合理的决定。
vulnerable,'vʌln(ə)rəb(ə)l,adj. 易受攻击的,adj. someone who is vulnerable can be easily harmed or hurt,'vʌlnərəbl,【记忆】vuln(受伤) + er + able(易…的) → 易受伤的,He took advantage of me when I was at my most vulnerable.,他在我最脆弱的时候利用了我。
heave,hiːv,v. 用力举起；说出；掷扔；n. 举，拉，扔,"v. to move up and down with very strong movements；n. a strong pulling, pushing, or lifting movement",hiv,"【短语】frost heave (冻胀), heave a sigh (叹了口气)",Michael’s shoulders heaved with silent laughter.,迈克尔憋着不笑出声来，双肩直抖。
come,kʌm,v. 来，达到；开始；出现；成为,v. to move towards you or arrive at the place where you are,kʌm,"【短语】come true (实现，成真；成为现实), come from (来自；出生于), come back (回来；记起；恢复原状，重新流行)",Let me know when they come.,他们来了就告诉我。
justification,dʒʌstɪfɪ'keɪʃ(ə)n,n. 理由,n. a good and acceptable reason for doing something,",dʒʌstɪfɪ'keʃən",,"Hoggart felt, with some justification, that his colleagues had let him down.",霍加特觉得同事令他失望，这是有理由的。
arc,ɑːk,n. 弧,n. a curved shape or line,ɑrk,"【短语】arc welding (电弧焊，弧焊；电弧焊接), arc furnace (电弧炉，直接电弧炉), electric arc ([电]电弧)",the arc of a rainbow,彩虹的弧状
wrestle,'res(ə)l,v. 摔跤，角斗；斗争，努力,v. to fight someone by holding them and pulling or pushing them,'rɛsl,【短语】wrestle with (全力对付；努力克服),Police officers wrestled him to the ground .,警察把他扑倒在地。
treaty,'triːtɪ,n. 条约；协定,n. a formal written agreement between two or more countries or governments,'triti,"【短语】peace treaty (和平条约), international treaty (国际条约), north atlantic treaty (北大西洋公约)",Both sides have agreed to sign the treaty .,双方都同意签署该条约。
mammal,'mæm(ə)l,n. 哺乳动物,"n. a type of animal that drinks milk from its mother’s body when it is young. Humans, dogs, and whales are mammals.",'mæml,【记忆】mamma(妈妈) + l → 靠吃妈妈的奶长大 → 哺乳动物 | 【短语】marine mammal (海产哺乳动物),A whale is a kind of mammal.,鲸是一种哺乳动物。
advocate,'ædvəkeɪt；-ət,n. 辩护人；倡导者；v. 提倡，支持,"n. someone who publicly supports someone or something；v. If you advocate a particular action or plan, you recommend it publicly",ˈædvəkeɪt；-et,【记忆】ad(表加强) + voc(大声呼喊) + ate → 大声喊 → 提倡 | 【短语】devil's advocate (故意持相反意见的人；故意唱反调的人),He was a strong advocate of free market policies and a multi-party system.,他是自由市场政策以及多党制的坚定倡导者。
fickle,'fɪk(ə)l,adj. 感情易变的；无常的,"adj. someone who is fickle is always changing their mind about people or things that they like, so that you cannot depend on them – used to show disapproval",'fɪkl,,an unpredictable and fickle lover,一个捉摸不透、三心二意的情人
salute,sə'l(j)uːt,n. 行礼，敬礼；礼炮,"n. an act of raising your right hand to your head as a sign of respect, usually done by a soldier to an officer",sə'lut,,"As they left, the corporal gave them a respectful salute.",他们离开时，下士恭敬地向他们行礼。
clear,klɪə,a&ad. 清楚的(地)，清白的(地)；v. 清除,v. to make somewhere emptier or tidier by removing things from it,klɪr,"【短语】make clear (显示；解释清楚), in the clear (不受阻碍；以内宽计算；用普通文字), clear of (清除，扫清)",Snowplows have been out clearing the roads.,扫雪机已经出动，去清扫路面了。
otherwise,'ʌðəwaɪz,adv. 用其他方法；不同地；conj. 否则，不然,adv. in a different way,'ʌðɚwaɪz,"【短语】or otherwise (或相反；或其反面), and otherwise (等等), otherwise than (不像；除…外；与…不同)",people who smoke or otherwise abuse their bodies,吸烟或以其他方式糟蹋自己身体的人
arduous,'ɑːdjʊəs,adj. 艰巨的，艰苦的,adj. involving a lot of strength and effort,'ɑrdʒuəs,【短语】make arduous efforts (v. 努力奋斗),"...a long, hot and arduous trip.",…一段漫长、灼热、艰难的旅程。
punctual,'pʌŋ(k)tʃʊəl; -tjʊəl,adj. 严守时刻的；准时的,"adj. arriving, happening, or being done at exactly the time that has been arranged",'pʌŋtʃʊəl,【记忆】punct(刺) + ual(形容词后缀)→ 像针刺那么准确 → 守时的； 准时的,She’s always very punctual for appointments.,她一向准时赴约。
directory,dɪ'rekt(ə)rɪ; daɪ-,n. 名录,"n. a book or list of names, facts etc, usually arranged in alphabetical order",dəˈrɛktəri; (also) daɪˈrɛktəri,"【记忆】direct(指引) + ory(表物) → 指引人们查询的东西 → 人名地址录 | 【短语】telephone directory (电话簿), current directory (n. [计]当前目录), root directory (根目录)",I couldn’t find your number in the telephone directory.,我在电话簿上找不到你的电话号码。
vanquish,'væŋkwɪʃ,v. 征服，击败,v. to defeat someone or something completely,'væŋkwɪʃ,,A happy ending is only possible because the hero has first vanquished the dragons.,只有主人公先把那些恶龙制服，快乐的结局才有可能。
oblivious,ə'blɪvɪəs,adj. 不在意的，忘却的,,ə'blɪvɪəs,,"She lay motionless where she was, oblivious to pain.",她一动不动地躺在原地，感觉不到疼痛。
apprentice,ə'prentɪs,n. 学徒；v. 使当学徒,,ə'prɛntɪs,,The apprentice lingered his work.,这个徒弟磨洋工。
excursion,ɪk'skɜːʃ(ə)n; ek-,n. 远足，短途旅行,"n. a short journey arranged so that a group of people can visit a place, especially while they are on holiday",ɪk'skɝʒn,【短语】temperature excursion (温度剧增，超温),a shopping excursion,购物游
downpour,'daʊnpɔː,n. 倾盆大雨,n. a lot of rain that falls in a short time,'daʊnpɔr,【记忆】down(住下) + pour(倒) → 倾盆而下的雨 → 暴雨,...sheltering from a sudden downpour of rain.,…躲避一场突如其来的瓢泼大雨。
mandatory,'mændət(ə)rɪ,adj. 命令的；强制性的,"adj. if something is mandatory, the law says it must be done",'mændətɔri,"【短语】mandatory standard (n. 强制性标准，法定标准；推荐性标准), mandatory provident fund (强制性公积金), mandatory measures (指令性措施)",Murder carries a mandatory life sentence .,谋杀罪依照法律要判无期徒刑。
loom,luːm,v. 隐隐呈现，赫然耸现；n. 织机，织造(术),"v. to appear as a large unclear shape, especially in a threatening way；n. a frame or machine on which thread is woven into cloth",lum,"【短语】rapier loom (剑杆织机；剑杆式投纬织机), air-jet loom (喷气织机), shuttle loom (梭织机；有梭织机)","Vincent loomed over me, as pale and grey as a tombstone.",文森特赫然出现在我面前，脸色苍白阴沉得像块墓碑。
variant,'veərɪənt,adj. 不同的，变异的；n. 变体，异体,n. something that is slightly different from the usual form of something,'vɛrɪənt,,Note that you must use the same variant of this option for all compiler runs related to the same project.,注意，对于所有运行的与同一个项目相关的编译器，必须使用这个选项的相同变体。
council,'kaʊns(ə)l; -sɪl,n. 政务会，理事会；委员会,"n. a group of people that are chosen to make rules, laws, or decisions, or to give advice",'kaʊnsl,"【记忆】Security Council 联合国安理会 | 【短语】state council (国务院), security council (（联合国）安全理事会), city council (市议会)",the council for civil liberties,公民自由委员会
meager,'mi:ɡə,adj. 瘦的，不足的，贫乏的,,'migɚ,【短语】meager profit (微利),His meager wage is not enough to support their five children.,靠他一个人的微薄工资不足以养活他们的五个孩子。
chord,kɔːd,n. 弦，和弦,n. a combination of several musical notes that are played at the same time and sound pleasant together,kɔrd,"【短语】bottom chord (底弦杆；底弦), chord length ([航空]弦长；弦长度)",Many of the things she says will strike a chord with other young women.,她说的许多话都能引起其他年轻女子的共鸣。
tolerable,'tɒl(ə)rəb(ə)l,adj. 可忍受的，可容许的，尚好的,"adj. a situation that is tolerable is not very good, but you are able to accept it",'tɑlərəbl,,"The apartment is really too small, but it’s tolerable for the time being.",这套公寓实在太小，不过暂时还能凑合。
fabric,'fæbrɪk,n. 织物，构造；结构,"n. cloth used for making clothes, curtains etc",'fæbrɪk,"【短语】cotton fabric (棉布；棉纤物), woven fabric (织物), knitted fabric (针织物，针织坯布)",our new range of fabrics and wallpapers,我们新的织物和墙纸系列
setting,'setɪŋ,n. 镶嵌；环境，背景；(日月)沉落,"n. the place where something is or where something happens, and the general environment",'sɛtɪŋ,"【记忆】set(布置) + t + ing → 布置(新居) → 环境； 安置 | 【短语】setting up (设立；装置), setting out (展示；启程；测定), setting sun (落日；斜阳)","I’ve worked with children in various settings, mainly in secondary school.",我在许多地方教过孩子，主要是在中学。
inference,'ɪnf(ə)r(ə)ns,"""n. 推论, 推断 ""","""n. something that you think is true, based on information that you have",'ɪnfərəns,"【记忆】从这些参考书(reference)里， 你能推断(inference)出什么？ | 【短语】inference engine ([计]推理机), statistical inference ([统]统计推断), inference method (n. 推理方法)",There were two inferences to be drawn from her letter.,从她的来信可以得到两种推论。
summon,'sʌmən,v. 召唤，传唤；鼓起，聚集,v. to order someone to come to a place,'sʌmən,【短语】summon up (鼓起，唤起；振作),Robert summoned the waiter for the bill.,罗伯特召唤服务员结账。
observe,əb'zɜːv,v. 看到；遵守；评论,v. to see and notice some­thing,əb'zɝv,【记忆】ob(表加强) ＋ serv(维持) ＋ e → 遵守 | 【短语】observe on (评论),Scientists have observed a drop in ozone levels over the Antarctic.,科学家已经观察到南极洲上方的臭氧浓度有所下降。
exotic,ɪg'zɒtɪk; eg-,adj. 外国种的；奇异的,adj. something that is exotic seems unusual and interesting because it is related to a foreign country – use this to show approval,ɪɡ'zɑtɪk,"【短语】exotic plant (外来植物；引入的植物), exotic dancer (脱衣舞女)",exotic birds,外国的奇异鸟类
superior,suːˈpɪərɪə,adj. 优越的；优良的，较高的,adj. thinking that you are better than other people – used to show disapproval,səˈpɪriər,"【记忆】super(在…上面) + ior → 上级的 | 【短语】superior quality (优质，上等品；高级货品), superior performance (性能优越), superior in (在…方面优越)",She had that superior tone of voice.,她带着那种傲慢的语气。
single,'sɪŋg(ə)l,adj. 单一的；未婚的；单人的；n. 单打，单程票,"adj. only one；n. a game, especially in tennis, in which one person plays on their own against another person",'sɪŋɡl,"【短语】every single ([口语][加强语气]每一个), single chip (单晶片), single crystal (单晶)",A single tree gave shade from the sun.,唯有一棵树遮阴。
spectacle,'spektək(ə)l,n. 场面；景象；壮观,n. a very impressive show or scene,'spɛktəkl,【短语】spectacle frame (眼镜架；双孔构架),a multimedia dance and opera spectacle,盛大的多媒体舞蹈戏剧表演
equilibrium,",iːkwɪ'lɪbrɪəm; ,ekwɪ-",n. 平衡，均衡,"n. a balance between different people, groups, or forces that compete with each other, so that none is stronger than the others and a situation is not likely to change suddenly",",ikwɪ'lɪbrɪəm","【短语】phase equilibrium (相平衡，相位平衡), dynamic equilibrium (动态平衡；动力平衡), equilibrium state (平衡态)",The government is anxious not to upset the economic equilibrium.,政府急切希望不要打乱经济平衡。
soluble,'sɒljʊb(ə)l,adj. 可溶解的,adj. a soluble substance can be  dissolved  in a liquid,'sɑljəbl,"【记忆】solu(溶解； 解开 ) + ble(可…的) → 可溶的； 可解决的 | 【短语】water soluble (水溶性的；溶于水的), soluble starch (可溶性淀粉), soluble glass (n. [材料学]溶性玻璃（等于sodium silicate）)",soluble aspirin,可溶性阿司匹林
gale,geɪl,n. 大风，一阵喧闹,n. a very strong wind,ɡel,"【短语】fresh gale (大风，八级风), strong gale (九级烈风)",a severe gale,一阵狂风
crust,krʌst,n. 面包、饼皮；硬外皮；屯饪,n. the hard brown outer surface of bread,krʌst,"【记忆】可与 crush (v. 压碎)一起记 | 【短语】earth's crust (地壳), continental crust (大陆地壳), weathering crust (风化壳)",sandwiches with the crusts cut off,切去边皮的三明治
junction,'dʒʌŋ(k)ʃ(ə)n,n. 交**点，接合点,"n. a place where one road, track etc joins another",'dʒʌŋkʃən,"【记忆】junct(连接) + ion → 连接 | 【短语】road junction (三叉路), junction box ([电]接线盒；分线盒), gap junction (缝隙连接；间隙连接)",the junction of Abbot Road and Mill Street,阿伯特路与米尔街的交叉口
heap,hiːp,n&vt. 堆；一堆；堆积；许多，大量；装载,n&vt. a large untidy pile of things,hip,"【记忆】通过大量(heap)量变一跃(leap)发生质变 | 【短语】heaps of (大量；许多), a heap of ([口]一大堆；许多), bottom of the heap ([口语]失败者；输家)",a rubbish heap,垃圾堆
mourn,mɔːn,v. 哀悼,v. to feel very sad and to miss someone after they have died,mɔrn,"【短语】mourn for (悼念；追悼), mourn over (哀悼)",Hundreds of people gathered to mourn the slain president.,成百上千人聚集在一起悼念遇刺的总统。
hound,haʊnd,n. 猎狗；卑鄙的人；v. 用猎狗追，追逐,"n. a dog that is fast and has a good sense of smell, used for hunting",haʊnd,"【短语】hound dog (猎狗，猎犬；猎犬乐队), basset hound (矮腿猎犬), afghan hound (阿富汗猎狗)",A troubled hound was baying the moon.,一条受惊不安的猎狗正在对月狂吠。
mutation,mjuː'teɪʃ(ə)n,n. 变化，变异，转变,n. a change in the  genetic  structure of an animal or plant that makes it different from others of the same kind,mju'teʃən,"【短语】gene mutation (基因突变), mutation breeding (诱变育种), mutation rate (突变率；变异概率；突变速率)",,
mantle,'mænt(ə)l,n. 斗篷，披风；覆盖物，(煤气灯)白热罩,"n. a loose piece of outer clothing without sleeves, worn especially in former times",'mæntl,"【短语】upper mantle (上地幔；上部地函), mantle plume ([地质]地幔柱), mantle convection (地函对流，地幔对流；地幔对流)",We have the rare opportunity to seize the mantle of national leadership.,这次是我们担当国家领导职责的天赐良机。
superfluous,suː'pɜːflʊəs; sjuː-,adj. 过剩的，多余的，不必要的,adj. more than is needed or wanted,sʊ'pɝflʊəs,,a modern building with no superfluous decoration,一栋没有多余装饰的现代建筑
set,set,v. (日，月)落，vt放,,sɛt,"【短语】set up (v. 建立；装配；开业；竖立), a set of (一套；一组；一副), set out (出发；开始；陈述；陈列)",This debate should be set in an international context .,这场辩论应该放在国际大背景下来看。
insert,ɪn'sɜːt,v. 插入；n. 插入物，插页,v. to put something inside or into something else；n. printed pages that are put inside a newspaper or magazine in order to advertise something,'ɪnsɝt,"【记忆】in(进入) + sert(放置) → 放进去 → 插入， 嵌入 | 【短语】insert into (插入；写入), insert mode (插入模式), metal insert (金属嵌入物)",He took a small key from his pocket and slowly inserted it into the lock.,他从衣袋里掏出一把小钥匙，然后缓缓地将其插入锁孔里。
portray,pɔː'treɪ,v. 描绘；描述,v. to describe or represent something or someone,pɔr'tre,,His most famous painting portrayed the death of Nelson.,他最著名的画作描绘的是纳尔逊之死。
studio,'stjuːdɪəʊ,n. 工作室；摄影棚；播音室,n. a room where television and radio programmes are made and broadcast or where music is recorded,'studɪo,"【短语】film studio (电影制片厂), photo studio (照相馆；摄像工作室), recording studio (录音室；录音棚)",a TV studio,电视演播室
ashamed,ə'ʃeɪmd,adj. 羞愧的；害臊的,adj. feeling very sorry and embarrassed because of something you have done,ə'ʃemd,"【短语】ashamed of (难为情，害臊；对…感到羞耻；对…感到惭愧), feel ashamed (感到羞愧)",Everyone cries sometimes – it’s nothing to be ashamed of.,每个人都会有哭的时候——没什么好难为情的。
arise,ə'raɪz,v. 发生；起来；出现,"v. if a problem or difficult situation arises, it begins to happen",ə'raɪz,"【短语】arise from (由…引起，起因于), arise out of (起于……)",A crisis has arisen in the Foreign Office.,外交部出现了危机。
repel,rɪ'pel,v. 击退；使厌恶,"v. if something repels you, it is so unpleasant that you do not want to be near it, or it makes you feel ill",rɪ'pɛl,【记忆】re(=back向后) + pel(推) → 向后推 → 击退， 驱逐,The smell repelled him.,这气味让他反感。
flux,flʌks,n. 流动；流,,flʌks,"【短语】heat flux (热流，热通量), magnetic flux (磁通量), flux density (通量密度；辐射流密度；流量密度)",,
raw,rɔː,adj. 生的；未加工的,adj. not cooked,rɔ,"【短语】raw material (原料), in the raw (处于自然状态；未开化的；裸体), raw water (n. 未净化的水)",raw meat,生肉
elapse,ɪ'læps,v. (时间)流逝,"v. if a particular period of time elapses, it passes",ɪ'læps,,Several months elapsed before his case was brought to trial.,过了几个月他的案子才开审。
diffuse,dɪ'fjuːz,v. 散开，扩散；adj. 扩散的；冗长的,"v. to make heat, light, liquid etc spread through something, or to spread like this；adj. spread over a large area",dɪ'fjus,"【记忆】dif(分开) + fus(倾泻) + e → 分开倾泻 → 散布； 漫射； 扩散 | 【短语】diffuse reflectance (漫反射率；漫反射系数；护散反射率), diffuse reflection (漫反射), diffuse light (漫射光)",Their ideas diffused quickly across Europe.,他们的观点很快在欧洲传播开来。
delicate,'delɪkət,adj. 细软的 柔嫩的 精美的 微妙的 难办的,adj. a part of the body that is delicate is attractive and graceful,ˈdɛlɪkɪt,【短语】delicate balance (微妙的平衡),Her wrists and ankles were slim and delicate.,她的手腕和脚踝长得纤巧优雅。
vow,vaʊ,n. 誓约，许愿,n. a serious promise,vaʊ,"【短语】exchange vows (订婚；结婚), under a vow (发过誓)",Jim made a vow that he would find his wife’s killer.,吉姆发誓要找到杀害他妻子的凶手。
gist,dʒɪst,n. 要领,n. the main idea and meaning of what someone has said or written,dʒɪst,,Don’t worry about all the details as long as you get the gist (= understand the main meaning ) of it.,不要去管各个细节，只要理解主要意思就行了。
specific,spə'sɪfɪk,adj. 具体的；特定的,"adj. a specific thing, person, or group is one particular thing, person, or group",spɪ'sɪfɪk,"【短语】specific surface (比表面；比表面积；表面系数), specific surface area (比表面积), specific gravity (比重)",games suitable for specific age groups,适合特定年龄组的游戏
candidate,'kændɪdeɪt; -dət,n. 候选人；应试人,n. someone who is being considered for a job or is competing in an election,"ˈkændɪˌdet, -dɪt","【记忆】can(能) + did(做) + ate → 踏实能干才能当候选人 → 候选人 | 【短语】candidate for (候选人；人选), presidential candidate (总统候选人), qualified candidate (合格的候选人；合资格人员)",a presidential candidate,总统候选人
magistrate,'mædʒɪstrət; -streɪt,n. 地方法官,"n. someone, not usually a lawyer, who works as a judge in a local court of law, dealing with less serious crimes",'mædʒɪs'tret,,She will face a local magistrate on Tuesday.,她将在星期二面见一位地方治安法官。
accessory,ək'ses(ə)rɪ,n. 同谋者；附件,"n. something such as a piece of equipment or a decoration that is not necessary, but that makes a machine, car, room etc more useful or more attractive",ək'sɛsəri,"【记忆】ac(附近) + cess(走) + ory → 接近主体部件 → 附件， 零件 | 【短语】accessory equipment (辅助设备), accessory nerve (副神经), accessory ingredient (助剂；配合剂)",bathroom accessories such as mirrors and towel-rails,镜子和毛巾架等浴室配件
submarine,'sʌbməriːn; sʌbmə'riːn,adj. 水下的；n. 潜水艇,"n. a ship, especially a military one, that can stay under water",",sʌbmə'rin","【记忆】sub(在…下面) + marine(海洋的； 船舶的) → 在海底航行的 → 潜水艇 | 【短语】submarine pipeline (海底管道；水下管道), nuclear submarine (核潜艇), submarine cable (海底电缆)",The captain dived his submarine deep to escape from the destroyers.,海军上校使他的潜艇深深下潜以逃避驱逐艇。
thermal,'θɜːm(ə)l,adj. 热的；热量的,adj. relating to or caused by heat,'θɝml,"【记忆】therm(＝thermo热) + al → 热的 | 【短语】thermal power (火力；火力发电；热功率；热电站), thermal stability (热稳定性，耐热性；热稳性), thermal conductivity (导热系数；热导率)",thermal energy,热能
indelible,ɪn'delɪb(ə)l,adj. 去不掉的，擦不掉的,adj. impossible to remove or forget,ɪn'dɛləbl,【短语】indelible ink (消不去的墨水),Her words left an indelible impression on me for years to come.,她的话多年来我都难以忘怀。
protract,prə'trækt,v. 延长，拖延,"v. to lengthen or extend (a speech, etc); prolong in time",pro'trækt,,Delay always breeds danger; and to protract a great design is often to ruin it.,推迟经常孕育危险；拖延一个伟大的工程常常意味着毁灭它。
quit,kwɪt,v. 离开；停止,"v. to leave a job, school etc, especially without finishing it completely",kwɪt,【短语】quit smoking (戒烟),He quit his job after an argument with a colleague.,他和一个同事争吵后就辞职了。
ramble,'ræmb(ə)l,v. 闲逛，漫步；漫谈；蔓延,v. to go on a walk in the countryside for pleasure,'ræmbl,【短语】ramble about (漫步于；闲逛),There’s plenty to discover as you ramble around this little island.,漫步这个小岛，你会有很多新发现。
lash,læʃ,n&v. 鞭打，责骂；眼睫毛,"n&v. to hit a person or animal very hard with a whip, stick etc",læʃ,【短语】lash out (猛击；猛烈抨击；大肆挥霍),Oliver lashed the horses to go faster.,奥利弗快马加鞭。
pottery,'pɒt(ə)rɪ,n. 陶器，陶器制造厂,n. objects made out of baked clay,'pɑtəri,"【短语】pottery and porcelain (陶瓷；陶瓷器), painted pottery (彩陶), chinese pottery (中国陶瓷；中国陶器)",Native American pottery,美洲印第安人的陶器
prosecute,'prɒsɪkjuːt,v. 告发，起诉,v. to charge someone with a crime and try to show that they are guilty of it in a court of law,'prɑsɪ'kjʊt,,Shoplifters will be prosecuted.,在商店行窃者将被起诉。
aggravate,'ægrəveɪt,v. 使恶化；使加剧；使气恼,"v. to make a bad situation, an illness, or an injury worse",'æɡrəvet,【记忆】ag + grav(重的) + ate(使…) → 使重 → 加重， 恶化,Their money problems were further aggravated by a rise in interest rates.,由于利率上调，他们的财务问题更加严重。
mediate,'miːdɪeɪt,v. 调停；居间促成,"v. to try to end a quarrel between two people, groups, countries etc",'midɪet,,The former president has agreed to mediate the peace talks.,前总统同意就和谈进行斡旋。
conscience,'kɒnʃ(ə)ns,n. 良心，犯罪感,n. the part of your mind that tells you whether what you are doing is morally right or wrong,ˈkɑːnʃəns,"【短语】a clear conscience (问心无愧), guilty conscience (内疚), have no conscience (没有良心；不辨是非)","Well, at least I can face them all with a clear conscience (= the knowledge that you have done nothing wrong ) .",好吧，至少我可以问心无愧地面对他们所有人。
scenery,'siːn(ə)rɪ,n. 风景,"n. the natural features of a particular part of a country that you can see, such as mountains, forests, deserts etc",'sinəri,"【记忆】scen(设置) + ery(表场所， 名词后缀) → 设置景色的场所 → 舞台布景； 景色 | 【短语】natural scenery (自然风光), picturesque scenery (山清水秀；景色如画), scenery spot (景点；风景区)",The best part of the trip was the fantastic scenery.,此次旅行最精彩之处就是那美妙绝伦的风景。
chronic,'krɒnɪk,adj. (疾病)慢性的,adj. a chronic disease or illness is one that continues for a long time and cannot be cured,'krɑnɪk,"【记忆】chron(时间) + ic(形容词后缀) → 长时间的 → (疾病)慢性的 | 【短语】chronic disease ([医]慢性病), chronic renal failure (慢性肾功能衰竭；慢性肾衰竭), chronic bronchitis (慢性支气管炎)",chronic arthritis,慢性关节炎
sustain,sə'steɪn,v. 支撑；支持，维持,v. to make something continue to exist or happen for a period of time,sə'sten,【记忆】sus(在…下面) + tain(支持) → 维持， 保持 | 【短语】sustain losses (蒙受损失),She found it difficult to sustain the children’s interest.,她发现很难保持孩子们的兴趣。
stuff,stʌf,n. 原料，材料；素质；东西；v. 把装满,"n. used when you are talking about things such as substances, materials, or groups of objects when you do not know what they are called, or it is not important to say exactly what they are；v. to fill something until it is full",stʌf,"【短语】and stuff (等等；诸如此类), food stuff (粮食), stuff with (用…把…堵住；用…装/填/塞)",I’ve got some sticky stuff on my shoe.,我鞋子上有什么黏糊糊的东西。
site,saɪt,n. 位置；v. 设置,"v. If something is sited in a particular place or position, it is put there or built there",saɪt,"【短语】web site (网页；网址), on site (现场；原地；原位), construction site (建筑工地；施工场地)",He said chemical weapons had never been sited in Germany.,他说从未在德国部署过化学武器。
veteran,'vet(ə)r(ə)n,n. 老练者；老手；老兵；老式古董车,"n. someone who has been a soldier, sailor etc in a war",'vɛtərən,,a Vietnam veteran,越战老兵
accompany,ə'kʌmpənɪ,v. 陪伴，伴奏,v. to go somewhere with someone,ə'kʌmpəni,"【记忆】ac(表加强) + company(同伴； 陪伴) → 陪伴； 伴随 | 【短语】accompany with (伴随着，兼带着；陪…同行), accompany by (随行，伴奏；在…的陪同下)",Children under 14 must be accompanied by an adult.,14岁以下儿童必须有成人陪同。
pace,peɪs,n. 一步；走或跑的速度,n. the speed at which something happens or is done,pes,"【短语】keep pace (并驾齐驱；齐步并进), keep pace with (并驾齐驱，保持同步), change of pace (n. 改变习惯；更换口味)","He quickened his pace , longing to be home.",他加快步伐，盼望着早点回到家中。
annual,'ænjʊəl,adj. 每年的，一年生的；n. 年刊；一年生植物,adj. happening once a year；n. a plant that lives for one year or season,'ænjuəl,"【记忆】ann(年) + ual → 每年的， 年度的 | 【短语】annual meeting (年会), annual report (年报，年度报告；年度决算；年度财务报告), annual production (年产量)",The school trip has become an annual event.,学校组织的旅行成了一年一度的活动。
cosmic,'kɒzmɪk,adj. 宇宙的,adj. relating to space or the universe,'kɑzmɪk,"【记忆】cosm(宇宙) + ic(形容词后缀) → 宇宙的 | 【短语】cosmic ray (宇宙线), cosmic dust (宇宙尘埃), cosmic radiation (宇宙辐射)",...the cosmic laws governing our world.,…主宰我们世界的宇宙法则。
majestic,mə'dʒestɪk,adj. 威严的；庄严的,"adj. very big, impressive, or beautiful",mə'dʒɛstɪk,,This lovely village is surrounded by majestic mountain scenery.,这座美丽的村庄四周山色壮丽。
give,gɪv,v. 给，付给，允许，供给，传达,"v. to let someone have something as a present, or to provide something for someone",ɡɪv,"【短语】give oneself (（为...）献身), give up (放弃；交出), give out (分发，发出；公布，发表；用尽，精疲力竭)","Researchers were given a £10,000 grant to continue their work.",研究人员得到一万英镑的经费以继续他们的研究。
outspoken,aʊt'spəʊk(ə)n,adj. 直言的，坦率的,"adj. expressing your opinions honestly and directly, even when doing this might annoy some people",aʊt'spokən,,an outspoken critic of the education reforms,对教育改革直言不讳的批评者
storage,'stɔːrɪdʒ,n. 仓库，货栈,,'stɔrɪdʒ,"【短语】data storage (数据存储), storage system (存储系统；存储器存储系统), energy storage (蓄能；能量储存；储能器)",,
unique,juː'niːk,adj. 唯一的，独一无二的,adj. being the only one of its kind,jʊ'nik,"【记忆】uni(单一) + que(有…特点的) → 唯一的， 独一无二的 | 【短语】unique style (独特的风格), unique feature (特色；特性；独到之处), unique opportunity (唯一机会；极难得的机会)",Each person’s fingerprints are unique.,每个人的指纹都是独一无二的。
