w,c,zh,en,us,core,ex,exz
shake,gt,摇动,quick back-and-forth motion,/ʃeɪk/,短促来回晃动，让身体或物体不再稳住。,Give the bottle a shake.,摇一下瓶子。
shame,gt,羞耻,painful feeling of guilt,/ʃeɪm/,觉得自己被看低或做错时，心里发烫想躲。,He felt shame.,他感到羞愧。
shock,gt,震惊,sudden strong feeling,/ʃɑk/,突然来的强刺激，让身体或心神一震。,The news was a shock.,这消息令人震惊。
side,gt,"侧,边",one of the surfaces,/saɪd/,中心旁边的一面，也可指立场所在的一边。,Stand on this side.,站到这边来。
sign,gt,"标志,迹象",mark or indication,/saɪn/,让人看见并明白某事的标记或迹象。,It's a good sign.,这是个好兆头。
silk,gt,丝绸,smooth cloth from silkworms,/sɪlk/,细滑有光的纤维织物，来自蚕吐出的丝。,She wore a silk scarf.,她戴着丝巾。
silver,gt,银,shiny gray-white metal,/ˈsɪlvɝ/,明亮偏白的贵重金属，像月光一样发冷光。,The ring is silver.,戒指是银的。
sister,gt,姐妹,a female sibling,/ˈsɪstɝ/,同父母或同家族的女性手足。,My sister is younger.,我妹妹比我小。
size,gt,"大小,尺寸",how big or small,/saɪz/,事物占据空间的大小，可被量出或比较。,What size do you wear?,你穿多大码?
sky,gt,天空,area above the earth,/skaɪ/,抬头所见的高远空面，云、光和星在那里。,The sky is blue.,天是蓝的。
sleep,gt,睡眠,natural rest of body and mind,/slip/,身体安静下来，意识退后，力量在暗中恢复。,Get a good sleep.,好好睡一觉。
slip,gt,滑倒;小条,sliding accident or small paper,/slɪp/,脚下或手中失去稳抓，轻快地滑走。,"Be careful, don't slip.","小心,别滑倒。"
slope,gt,斜坡,surface going up or down,/sloʊp/,地面从高到低倾斜展开的一段。,The slope is steep.,坡很陡。
smash,gt,打碎,violent breaking,/smæʃ/,用猛力击碎或撞坏，使完整东西散开。,The cup smash was loud.,杯子碎得很响。
smell,gt,气味,what is sensed by nose,/smɛl/,气味进入鼻子，被身体辨认出来。,This flower has a sweet smell.,这花闻起来很香。
smile,gt,微笑,happy face expression,/smaɪl/,嘴角轻轻上扬，露出友好或愉快的信号。,Give me a smile.,给我笑一个。
smoke,gt,烟,gas from burning,/smoʊk/,燃烧后升起的灰色气流，带着气味和遮挡。,Smoke filled the room.,烟弥漫了屋子。
sneeze,gt,喷嚏,sudden burst from nose,/sniz/,鼻子受刺激后猛地把气从口鼻喷出。,Cover your sneeze.,打喷嚏时捂住。
snow,gt,雪,white frozen drops from sky,/snoʊ/,寒冷中从云里落下的白色冰晶，覆盖地面。,Snow covers the road.,雪覆盖了路面。
soap,gt,肥皂,substance for washing,/soʊp/,遇水起滑泡的清洁物，把油污从表面带走。,Use soap and water.,用肥皂和水洗。
society,gt,社会,people living together,/səˈsaɪəti/,许多人按关系和规则共同生活成的大群体。,Society needs rules.,社会需要规则。
son,gt,儿子,male child,/sʌn/,一个家庭中的男性孩子，相对父母而言。,Their son is six.,他们的儿子六岁。
song,gt,歌曲,piece of music with words,/sɔŋ/,把话语和旋律合在一起唱出的声音。,Sing me a song.,给我唱首歌。
sort,gt,种类,a kind or type,/sɔɹt/,按相同和不同把东西分门别类，也指一种类型。,What sort of book?,什么样的书?
sound,gt,声音,what is heard by ears,/saʊnd/,空气震动传到耳中，让人听见的东西。,I heard a strange sound.,我听到了奇怪的声音。
soup,gt,汤,liquid food,/sup/,用水煮出味道的热食，液体中带着食材。,Have some hot soup.,喝点热汤。
space,gt,"空间,太空",empty area or the universe,/speɪs/,事物之间和周围可容纳东西的空处。,There's not enough space.,空间不够。
stage,gt,"舞台,阶段",platform or step in process,/steɪdʒ/,事情发展中的一个阶段，也指表演站上的台面。,She walked on stage.,她走上舞台。
start,gt,开始,beginning of something,/stɑɹt/,原本未动的事从这一点开始向前。,It's a good start.,开了个好头。
statement,gt,声明,clear expression of facts,/ˈsteɪtmənt/,把一件事明确说出来的句子或正式说法。,Make a statement.,发表声明。
steam,gt,蒸汽,hot gas from boiling water,/stim/,水受热后变成的白色热气，能推动也会烫人。,Steam rose from the cup.,杯子上升起蒸汽。
steel,gt,钢,very strong metal of iron,/stil/,由铁炼成的坚强金属，常用来支撑和切割。,The blade is steel.,刀刃是钢的。
step,gt,"步,台阶",one foot move or stair,/stɛp/,脚向前落下的一次，也是一件事的一小段。,Take a small step.,迈一小步。
stitch,gt,针脚,one movement of needle,/stɪtʃ/,针线穿过布面留下的一小针，把边缘连住。,A stitch in time saves nine.,"小洞不补,大洞吃苦。"
stone,gt,石头,hard mineral lump,/stoʊn/,从大地来的坚硬小块，冷重而不易变形。,He threw a stone.,他扔了块石头。
stop,gt,停止,end of motion,/stɑp/,正在动的事被按住，不再继续向前。,Make a quick stop.,赶紧停一下。
story,gt,故事,tale of events,/ˈstɔɹi/,把发生的事按先后讲成一条有意思的线。,Tell me a story.,给我讲个故事。
stretch,gt,伸展,making longer,/stɹɛtʃ/,把身体或东西拉长展开，越过原来的短处。,Give your back a stretch.,伸展一下背。
structure,gt,结构,how parts are put together,/ˈstɹʌktʃɝ/,各部分按关系搭在一起，形成稳定的形状。,The structure is sound.,结构稳固。
substance,gt,物质,matter or material,/ˈsʌbstəns/,实际占有形体的材料或东西，不只是表面名字。,What is this substance?,这是什么东西?
sugar,gt,糖,sweet white substance,/ˈʃʊɡɝ/,带甜味的晶体，给食物能量和甜感。,Add sugar to tea.,茶里加糖。
suggestion,gt,建议,idea offered,/səˈdʒɛstʃən/,把一个可能做法轻轻提出，让别人考虑。,That's a good suggestion.,这建议不错。
summer,gt,夏天,hottest season,/ˈsʌmɝ/,一年中最热、光最长的季节，万物旺盛。,Summer is here.,夏天到了。
support,gt,支持,help or hold up,/səˈpɔɹt/,从下面或背后托住，让人或事不倒不散。,Thanks for your support.,谢谢你的支持。
surprise,gt,惊讶,unexpected feeling,/səˈpɹaɪz/,事情突然不按预想出现，心里一下张开。,What a nice surprise!,真是个惊喜!
swim,gt,游泳,act of moving in water,/swɪm/,身体在水中移动，不让自己沉下去。,Go for a swim.,去游泳吧。
system,gt,系统,organized set of things,/ˈsɪstəm/,许多部分按规则连成整体，一起完成作用。,The system works well.,系统运转良好。
talk,gt,谈话,act of speaking,/tɔk/,人和人用话来回交换想法和消息。,Let's have a talk.,我们谈谈吧。
taste,gt,味道,flavor sensed in mouth,/teɪst/,舌头接住食物的味道，也指对好坏的感觉。,This soup has a strong taste.,这汤味道很重。
tax,gt,税,money paid to government,/tæks/,按规则交给公共权力的钱，用于共同事务。,Pay your tax on time.,按时纳税。
teaching,gt,教学,act of giving knowledge,/ˈtitʃɪŋ/,把知识和做法传给别人，使对方会明白会做。,Teaching is her passion.,教学是她的热情所在。
tendency,gt,倾向,inclination toward something,/ˈtɛndənsi/,事情自然偏向某个方向的力量或习惯。,He has a tendency to be late.,他有迟到的倾向。
test,gt,测试,way to check ability,/tɛst/,用题目或试验去看能力、真假或质量。,I passed the test.,我通过了考试。
theory,gt,理论,set of ideas explaining facts,/ˈθiɝi/,用来解释一类事情的想法框架和道理。,"In theory, it works.",理论上行得通。
thing,gt,"东西,事情",any object or matter,/θɪŋ/,可被指出的一样东西或一件事，边界很宽。,What's that thing?,那是什么东西?
thought,gt,想法,idea in the mind,/θɔt/,心里冒出的想法，能被抓住、整理或说出。,Penny for your thought.,你在想什么?
thunder,gt,雷,loud sound from sky,/ˈθʌndɝ/,闪电后天空发出的巨大滚响，震动远处。,Thunder shook the house.,雷声震得房子发抖。
time,gt,时间,"flow of past, present, future",/taɪm/,事情发生和流过的无形线，使先后有次序。,Time flies.,光阴似箭。
tin,gt,锡;罐头,soft silver metal or can,/tɪn/,柔软发亮的金属，也常指盛东西的薄罐。,A tin of beans.,一罐豆子。
top,gt,顶部,highest part,/tɑp/,最高或最外上的部分，离底部最远。,Reach the top of the hill.,爬到山顶。
touch,gt,触摸,physical contact,/tʌtʃ/,身体表面碰到东西，感觉到它的存在。,Just a light touch.,轻轻一碰。
trade,gt,贸易,buying and selling,/tɹeɪd/,双方交换货物、服务或钱，让各自得到所需。,International trade is growing.,国际贸易在增长。
transport,gt,运输,moving goods or people,/ˈtɹænspɔɹt/,把人或物从一个地方运到另一个地方。,Public transport is fast.,公共交通很快。
trick,gt,"诡计,把戏",clever or deceptive act,/tɹɪk/,用巧妙或欺骗的办法，让别人看错或上当。,He played a trick on me.,他耍了我一下。
trouble,gt,麻烦,problem or difficulty,/ˈtɹʌbəl/,让事情变难、让人不安的麻烦和阻碍。,He's in trouble.,他有麻烦了。
turn,gt,"转,轮流",act of rotating or one's chance,/tɝn/,围着一点改变方向，也指轮到某人行动。,It's your turn.,轮到你了。
twist,gt,扭转,turning around,/twɪst/,把东西绕着自身拧转，使直的变弯变紧。,Give it a twist.,扭一下。
unit,gt,"单位,单元",single thing or measure,/ˈjunət/,可单独计算的一份，也是整体中的基本小块。,One unit is sold.,卖了一个。
use,gt,使用,act of employing,/jus/,把东西拿来完成目的，使它发挥作用。,What's the use of this?,这有什么用?
value,gt,价值,how much something is worth,/ˈvælju/,一件东西被认为有多少用处、意义或价钱。,This has great value.,这很有价值。
verse,gt,诗句,writing in lines and rhythm,/vɝs/,按节奏排成行的文字，常带诗或歌的形状。,She wrote a verse.,她写了一段诗。
vessel,gt,容器;船,container or large boat,/ˈvɛsəl/,能装载液体、货物或人的容器或船体。,The vessel sailed at dawn.,船黎明启航。
view,gt,视野;观点,sight or opinion,/vju/,眼前展开的景象，也指心里看事情的角度。,The view is amazing.,景色真美。
voice,gt,"声音,嗓音",sound made when speaking,/vɔɪs/,从喉咙发出的个人声音，也代表说话权。,She has a soft voice.,她声音柔和。
walk,gt,散步,act of going on foot,/wɑk/,双脚交替踏地前进，速度平稳不急。,Take a walk.,去散步吧。
war,gt,战争,armed conflict,/wɔɹ/,群体之间用武力相争，和平被大规模打破。,War is terrible.,战争很可怕。
wash,gt,洗涤,act of cleaning with water,/wɑʃ/,用水和动作把污物从表面带走。,Give the car a wash.,给车洗个澡。
waste,gt,"浪费,废物",useless use or trash,/weɪst/,没有好好使用而白白流失，也指无用剩物。,It's a waste of time.,这是浪费时间。
water,gt,水,clear liquid we drink,/ˈwɔtɝ/,透明流动的液体，生命离不开它。,Drink more water.,多喝水。
wave,gt,波浪,moving ridge on water,/weɪv/,水面或空气中起伏前进的形状，也可挥手示意。,The waves are high.,浪很高。
wax,gt,蜡,soft substance from bees,/wæks/,可软化又能凝固的油性物，用来封、亮或成形。,The candle is made of wax.,蜡烛是蜡做的。
way,gt,"方法,路",method or route,/weɪ/,通向目标的路，也指做事所采用的方法。,What's the best way?,哪种方法最好?
weather,gt,天气,state of the air,/ˈwɛðɝ/,天空和空气当天的样子，如冷热风雨。,The weather is fine.,天气真好。
week,gt,一周,seven days,/wik/,七天连成的时间小循环，安排生活和工作。,See you next week.,下周见。
weight,gt,重量,how heavy something is,/weɪt/,身体或物体向下压的分量，可被称量。,What's the weight?,多重?
wind,gt,风,moving air,/wɪnd/,空气大范围流动，能吹动云、树和帆。,The wind is strong.,风很大。
wine,gt,葡萄酒,drink made from grapes,/waɪn/,由果汁发酵成的有酒力饮料，常带仪式感。,Red wine is good.,红酒不错。
winter,gt,冬天,coldest season,/ˈwɪntɝ/,一年中最冷的季节，生长放慢，世界收缩。,Winter is cold here.,这儿冬天很冷。
woman,gt,女人,adult female,/ˈwʊmən/,成年的女性人，带有女性身体和社会身份。,She's a kind woman.,她是个善良的女人。
wood,gt,木头,hard material from trees,/wʊd/,树干里的坚实材料，可燃、可建、可雕。,The chair is wood.,椅子是木头的。
wool,gt,羊毛,soft hair from sheep,/wʊl/,动物身上的柔软毛纤维，剪下后可保暖织物。,This sweater is wool.,这毛衣是羊毛的。
word,gt,"词,话",unit of language,/wɝd/,语言中可单独说出的意义小块，给思想命名。,Say the word.,说一句话。
work,gt,工作,task or job done,/wɝk/,把力气和时间投进去，完成有目的的事。,Good work today.,今天干得不错。
wound,gt,伤口,injury to body,/wund/,身体被切开或打伤留下的破损处。,Clean the wound.,把伤口洗干净。
writing,gt,写作,act of making letters,/ˈɹaɪtɪŋ/,把话和想法变成可看见的文字痕迹。,Her writing is clear.,她写得很清楚。
year,gt,年,twelve months,/jɪɹ/,四季走完一圈的时间，生活按它计数。,Happy new year.,新年快乐。
angle,pt,角,corner where two lines meet,/ˈæŋɡəl/,两条线相遇折出的方向转角。,Cut at a right angle.,直角切。
ant,pt,蚂蚁,small insect that lives in colonies,/ænt/,贴着地面成群搬运的小昆虫。,An ant is on the bread.,面包上有只蚂蚁。
apple,pt,苹果,round red or green fruit,/ˈæpəl/,手里可握的圆形脆甜果实。,An apple a day.,每天一苹果。
arch,pt,拱门,curved structure over an opening,/ɑɹtʃ/,向上弯起跨过开口的支撑形。,Walk through the arch.,从拱门下走过。
arm,pt,手臂,limb from shoulder to hand,/ɑɹm/,从肩伸出用来拿取拥抱的肢体。,Lift your arm up.,抬起手臂。
army,pt,军队,large group of soldiers,/ˈɑɹmi/,许多人按命令集结作战的队伍。,The army marched in.,军队开进来了。
baby,pt,婴儿,very young child,/ˈbeɪbi/,刚来到世界尚需照看的小生命。,The baby is sleeping.,宝宝在睡觉。
bag,pt,"包,袋子",soft container for things,/bæɡ/,柔软开口能装东西随身带的容器。,My bag is heavy.,我的包很重。
ball,pt,球,round object for sports,/bɔl/,能滚动能抛接的圆圆物体。,Throw me the ball.,把球扔给我。
band,pt,带子;乐队,strip or music group,/bænd/,绕住或连起事物的一条带状物。,A band of gold.,一条金色带子。
basin,pt,"盆,水池",round container for liquids,/ˈbeɪsən/,浅而宽用来盛水洗涤的盆形容器。,Wash hands in the basin.,在水池洗手。
basket,pt,篮子,woven container,/ˈbæskət/,编成网状可提可装物的轻容器。,A basket of apples.,一篮苹果。
bath,pt,"浴缸,洗澡",tub or act of washing body,/bæθ/,让身体浸入水中清洗的地方或过程。,Take a warm bath.,洗个热水澡。
bed,pt,床,furniture for sleeping,/bɛd/,让身体平躺休息睡眠的软平台。,Go to bed.,去睡觉。
bee,pt,蜜蜂,insect that makes honey,/bi/,飞在花间采蜜并会蜇人的小虫。,The bee landed on a flower.,蜜蜂落在花上。
bell,pt,铃,hollow object that rings,/bɛl/,被敲击后发出清亮声响的中空物。,The bell is ringing.,铃响了。
berry,pt,浆果,small soft fruit,/ˈbɛɹi/,小而多汁可一口吃下的圆果。,Pick wild berries.,采野果。
bird,pt,鸟,animal with feathers and wings,/bɝd/,有羽毛和翅膀能飞行的生灵。,A bird flew away.,鸟飞走了。
blade,pt,刀刃,sharp edge of a cutting tool,/bleɪd/,薄而锋利用来切开的边缘片。,The blade is sharp.,刀刃很锋利。
board,pt,木板,long flat piece of wood,/bɔɹd/,平直结实可承托或书写的板面。,Walk the board.,走在木板上。
boat,pt,船,small water craft,/boʊt/,浮在水上载人载物的小船体。,Take the boat across.,乘船过去。
bone,pt,骨头,hard part inside body,/boʊn/,藏在身体里支撑形状的硬架。,The dog has a bone.,狗有根骨头。
book,pt,书,bound pages for reading,/bʊk/,一页页合在一起承载文字的物。,Read this book.,读这本书。
boot,pt,靴子,high shoe,/but/,包住脚和踝部的结实高鞋。,Pull on your boots.,穿上靴子。
bottle,pt,瓶子,container with narrow neck,/ˈbɑtəl/,细口长身用来盛液体的容器。,A bottle of water.,一瓶水。
box,pt,盒子,square container,/bɑks/,有平面和边角能收纳物件的硬容器。,Put it in the box.,放进盒里。
boy,pt,男孩,young male child,/bɔɪ/,尚未长成男人的年少男性。,The boy is playing.,那男孩在玩。
brain,pt,大脑,organ in the head,/bɹeɪn/,头颅中思考感知和指挥身体的核心。,Use your brain.,动动脑子。
brake,pt,刹车,device to stop a vehicle,/bɹeɪk/,让运动慢下来或停住的控制件。,Hit the brake.,踩刹车。
branch,pt,树枝,arm of a tree,/bɹæntʃ/,从树干伸出的分叉木臂。,A branch broke off.,一根树枝断了。
brick,pt,砖,hard block for building,/bɹɪk/,一块块烧硬后可砌墙的长方土石。,Build a wall of brick.,用砖砌墙。
bridge,pt,桥,structure across water,/bɹɪdʒ/,跨过水沟或空处连接两端的结构。,Cross the bridge.,过桥。
brush,pt,刷子,tool with bristles,/bɹʌʃ/,带许多细毛用来刷洗涂抹的工具。,Use a brush for paint.,用刷子刷漆。
bucket,pt,桶,open container with handle,/ˈbʌkət/,有提手可盛水搬物的深桶。,Fill the bucket.,把桶装满。
bulb,pt,灯泡;球茎,glass for light or plant root,/bʌlb/,圆鼓外壳里能发光或生芽的头状物。,Change the bulb.,换灯泡。
button,pt,纽扣,small disk to fasten clothes,/ˈbʌtən/,小圆片穿过扣眼把衣物合住。,A button came off.,一颗扣子掉了。
cake,pt,蛋糕,sweet baked food,/keɪk/,烤成的柔软甜食常被切块分享。,Have a piece of cake.,吃块蛋糕。
camera,pt,相机,device for taking pictures,/ˈkæmɝə/,把眼前景象留下成影像的器具。,Bring your camera.,带上相机。
card,pt,卡片,small stiff paper,/kɑɹd/,一张小而硬的片子承载信息或用途。,Send me a card.,给我寄张卡。
cart,pt,手推车,small wagon,/kɑɹt/,有轮子可推拉搬运东西的小车。,Push the cart.,推车。
carriage,pt,"马车,车厢",vehicle pulled by horses,/ˈkæɹɪdʒ/,载人或载物移动的车厢式结构。,A horse-drawn carriage.,马拉的车。
cat,pt,猫,small furry pet,/kæt/,柔软敏捷会捕鼠也会亲近人的小兽。,The cat is sleeping.,猫在睡觉。
chain,pt,链子,line of joined metal rings,/tʃeɪn/,一环扣一环连成长条的金属物。,A chain of mountains.,一条山脉。
cheese,pt,奶酪,food from milk,/tʃiz/,奶凝成的浓香软硬食物。,"Bread and cheese, please.",请给我面包和奶酪。
chest,pt,胸部;箱子,upper body or storage box,/tʃɛst/,身体前方护着心肺的宽厚部位。,A pain in the chest.,胸口疼。
chin,pt,下巴,part of face below mouth,/tʃɪn/,脸下端突出承接嘴部的骨感部位。,He has a strong chin.,他下巴线条很硬。
church,pt,教堂,building for Christian worship,/tʃɝtʃ/,人们聚集祈祷敬拜的宗教建筑。,Go to church on Sunday.,周日去教堂。
circle,pt,圆,round shape,/ˈsɝkəl/,围绕中心没有角也不断开的圆形线。,Draw a circle.,画个圆。
clock,pt,时钟,device that shows time,/klɑk/,用指针或数字显示时间流动的器具。,The clock is fast.,钟快了。
cloud,pt,云,white mass in sky,/klaʊd/,漂在天空中聚成团的水汽形状。,A cloud blocked the sun.,云挡住了太阳。
coat,pt,外套,outer garment,/koʊt/,穿在外层挡风保暖的长衣。,Put on your coat.,穿上外套。
collar,pt,衣领,part of shirt around neck,/ˈkɑlɝ/,围在脖子周围的衣领部分。,His collar is white.,他的衣领是白的。
comb,pt,梳子,tool for hair,/koʊm/,带一排细齿用来理顺头发的工具。,Use a comb.,用梳子。
cord,pt,"绳,线",thin rope,/kɔɹd/,柔软细长可绑扎连接的绳线。,Tie it with a cord.,用绳子绑上。
cow,pt,母牛,large animal that gives milk,/kaʊ/,产奶吃草体形厚重的家养大兽。,The cow gives milk.,母牛产奶。
cup,pt,杯子,small drinking vessel,/kʌp/,可握在手中盛饮料的小容器。,A cup of tea.,一杯茶。
curtain,pt,窗帘,cloth covering a window,/ˈkɝtən/,挂在窗前可拉开遮住视线的布。,Pull the curtain.,拉上窗帘。
cushion,pt,垫子,soft pad for comfort,/ˈkʊʃən/,垫在身下或背后使人柔软舒适的垫物。,Sit on a cushion.,坐在垫子上。
dog,pt,狗,common pet animal,/dɔɡ/,忠于主人会看守陪伴的家养兽。,The dog barks.,狗在叫。
door,pt,门,opening with hinges,/dɔɹ/,墙上可开合让人进出的板。,Close the door.,关门。
drain,pt,排水管,pipe for waste water,/dɹeɪn/,让水从低处流走的孔道。,The drain is blocked.,下水道堵了。
drawer,pt,抽屉,sliding storage box,/dɹɔɹ/,可从柜中拉出的收纳盒。,Open the drawer.,打开抽屉。
dress,pt,连衣裙,woman's outer garment,/dɹɛs/,从肩垂下包住身体的女式连衣物。,A red dress.,一条红裙子。
drop,pt,水滴,small round bit of liquid,/dɹɑp/,从液体分出的小圆珠。,A drop of water.,一滴水。
ear,pt,耳朵,organ for hearing,/iɹ/,头两侧接收声音的外露器官。,My ear hurts.,我耳朵疼。
egg,pt,蛋,oval thing laid by birds,/ɛɡ/,薄壳包着新生命或食物的圆体。,Boil two eggs.,煮两个蛋。
engine,pt,引擎,machine that makes power,/ˈɛndʒən/,把能量转成运动力量的机器心脏。,The engine roared.,引擎轰鸣。
eye,pt,眼睛,organ for seeing,/aɪ/,让光进入身体形成视觉的器官。,Close your eyes.,闭上眼睛。
face,pt,脸,front of head,/feɪs/,头前方显出表情和身份的部分。,Wash your face.,洗脸。
farm,pt,农场,land for growing food,/fɑɹm/,种作物养牲畜获取食物的土地。,Live on a farm.,住在农场。
feather,pt,羽毛,light part of bird's covering,/ˈfɛðɝ/,覆盖鸟身帮助保暖飞行的轻片。,As light as a feather.,轻如鸿毛。
finger,pt,手指,one of five parts on hand,/ˈfɪŋɡɝ/,手掌末端能触摸抓握的细长部分。,Point with your finger.,用手指点。
fish,pt,鱼,animal living in water,/fɪʃ/,在水中用鳍游动呼吸的动物。,Catch a fish.,钓条鱼。
flag,pt,旗帜,cloth showing country or sign,/flæɡ/,挂在杆上随风显示身份的布片。,The flag flies high.,旗帜高高飘扬。
floor,pt,地板,bottom surface of a room,/flɔɹ/,脚下承托站立行走的平面。,Sit on the floor.,坐在地板上。
fly,pt,苍蝇,small flying insect,/flaɪ/,带翅膀嗡嗡乱飞的小昆虫。,There's a fly on the window.,窗上有只苍蝇。
foot,pt,脚,part of leg below ankle,/fʊt/,身体最下端支撑行走的部位。,My foot hurts.,我脚疼。
fork,pt,叉子,tool with prongs for eating,/fɔɹk/,带几根尖齿用来叉取食物的器具。,Use a fork.,用叉子。
fowl,pt,家禽,bird kept for food,/faʊl/,家中饲养可下蛋可食用的禽鸟。,Raise fowl on the farm.,农场养家禽。
frame,pt,框架,border or structure,/fɹeɪm/,围住边缘支撑形状的外架。,A picture frame.,相框。
garden,pt,花园,area with plants,/ˈɡɑɹdən/,种花草树木供照看欣赏的小地。,Work in the garden.,在花园里干活。
girl,pt,女孩,young female child,/ɡɝl/,尚未长成女人的年少女性。,The girl is happy.,那女孩很开心。
glove,pt,手套,covering for hand,/ɡlʌv/,套住手掌和手指的柔软护套。,Wear warm gloves.,戴上保暖手套。
goat,pt,山羊,horned farm animal,/ɡoʊt/,有角善攀吃草的家养小兽。,The goat eats grass.,山羊在吃草。
gun,pt,枪,weapon that shoots,/ɡʌn/,把弹丸快速射出去的武器。,He put down the gun.,他放下了枪。
hair,pt,头发,threads growing on head,/hɛɹ/,从皮肤长出的细丝状覆盖物。,Her hair is long.,她头发很长。
hammer,pt,锤子,tool for hitting nails,/ˈhæmɝ/,用沉重头部敲打钉物的工具。,Use a hammer.,用锤子。
hand,pt,手,part of arm with fingers,/hænd/,手臂末端能抓握创造的部位。,Give me your hand.,把手给我。
hat,pt,帽子,head covering,/hæt/,戴在头上遮阳保暖或表身份的物。,Wear a sun hat.,戴顶遮阳帽。
head,pt,头,top part of body,/hɛd/,身体最高处容纳脸和脑的部位。,My head hurts.,我头疼。
heart,pt,心脏,organ that pumps blood,/hɑɹt/,胸中不断跳动推动血液的核心。,My heart beats fast.,我心跳很快。
hook,pt,钩子,curved metal for catching,/hʊk/,弯成钩状用来挂住拉住的物。,Hang it on the hook.,挂到钩子上。
horn,pt,角;喇叭,hard growth on animal head,/hɔɹn/,头上长出的硬尖角或发声器。,The bull has horns.,公牛有角。
horse,pt,马,large animal for riding,/hɔɹs/,强壮善跑可骑乘拉车的大兽。,Ride the horse.,骑马。
hospital,pt,医院,place for sick people,/ˈhɑˌspɪtəl/,病人接受照护和治疗的地方。,Take her to hospital.,送她去医院。
house,pt,房子,building where people live,/haʊs/,围出安全空间供人居住的建筑。,My house is small.,我家房子小。
island,pt,岛,land with water all around,/ˈaɪlənd/,四周被水围住的一块陆地。,The island is small.,这岛很小。
jewel,pt,宝石,precious stone,/ˈdʒuəl/,因光泽稀少而被珍藏佩戴的宝物。,The ring has a jewel.,戒指上有颗宝石。
kettle,pt,水壶,pot for boiling water,/ˈkɛtəl/,有嘴有把用来烧水倒水的壶。,Put the kettle on.,烧上水。
key,pt,钥匙,metal piece to open lock,/ki/,插入锁中转动后打开入口的小物。,I lost my key.,我丢了钥匙。
knee,pt,膝盖,middle joint of leg,/ni/,腿中间弯曲支撑下蹲的关节。,Bend your knee.,弯膝盖。
knife,pt,刀,sharp tool for cutting,/naɪf/,握在手中用锋刃切分东西的工具。,Use a sharp knife.,用锋利的刀。
knot,pt,结,tied loop in rope,/nɑt/,绳线自身交缠后形成的紧结。,Make a strong knot.,打个结实的结。
leaf,pt,叶子,flat green part of plant,/lif/,树枝上展开吸收阳光的薄绿片。,The leaf is yellow.,叶子黄了。
leg,pt,腿,limb for walking,/lɛɡ/,支撑身体站立奔走的长肢。,My leg is sore.,我腿疼。
library,pt,图书馆,place with books,/ˈlaɪbɹɛˌɹi/,收藏书本供人查阅学习的地方。,Borrow from the library.,从图书馆借。
line,pt,线,long thin mark,/laɪn/,从一点延向另一点的细长痕迹。,Draw a straight line.,画条直线。
lip,pt,嘴唇,edge of mouth,/lɪp/,围住口边用于闭合说话的柔软边。,Bite your lip.,咬嘴唇。
lock,pt,锁,device that fastens,/lɑk/,把门箱固定住需钥匙开启的装置。,Turn the lock.,转动锁。
map,pt,地图,drawing of an area,/mæp/,把大地位置缩小画在平面上的图。,Read the map.,看地图。
match,pt,火柴,short stick that lights fire,/mætʃ/,一擦即燃用来点火的小木棒。,Light a match.,点根火柴。
monkey,pt,猴子,climbing animal with tail,/ˈmʌŋki/,灵活攀跳像人的长尾兽。,The monkey climbed up.,猴子爬上去了。
moon,pt,月亮,earth's satellite,/mun/,夜空中反光变化圆缺的天体。,The moon is bright.,月亮很亮。
mouth,pt,嘴,opening for eating,/maʊθ/,吃东西说话呼吸的面部开口。,Open your mouth.,张开嘴。
muscle,pt,肌肉,body tissue that moves bones,/ˈmʌsəl/,收缩发力让身体运动的肉。,Build muscle.,练肌肉。
nail,pt,钉子;指甲,metal pin or finger end,/neɪl/,手脚尖端或钉入木中的硬片。,Hammer the nail.,锤钉子。
neck,pt,脖子,part between head and body,/nɛk/,连接头和身体的可转动柱状部位。,My neck hurts.,我脖子疼。
needle,pt,针,thin pointed tool,/ˈnidəl/,细长尖锐可穿刺或引线的工具。,Thread the needle.,穿针引线。
nerve,pt,神经,fiber carrying body signals,/nɝv/,在身体里传递感觉和命令的细线。,He has nerves of steel.,他有钢铁般的神经。
net,pt,网,mesh of strings,/nɛt/,许多线交织成孔用来捕捉承托的物。,Catch fish with a net.,用网抓鱼。
nose,pt,鼻子,organ for smelling,/noʊz/,脸中央闻气味并呼吸的突出部位。,Blow your nose.,擤鼻涕。
nut,pt,坚果;螺母,hard-shelled seed or fastener,/nʌt/,硬壳包住可食仁的小果实或紧固件。,Crack the nut.,敲开坚果。
office,pt,办公室,place where work is done,/ˈɔfɪs/,人们坐下处理事务工作的房间。,Go to the office.,去办公室。
orange,pt,橙子,round citrus fruit,/ˈɔɹəndʒ/,圆而多汁带清香的橙色果实。,Peel the orange.,剥橙子。
oven,pt,烤箱,enclosed space for cooking,/ˈʌvən/,用封闭热空间烤熟食物的器具。,Put it in the oven.,放进烤箱。
parcel,pt,包裹,wrapped package,/ˈpɑɹsəl/,包好后等待搬运寄送的一件物。,A parcel arrived for you.,你的包裹到了。
pen,pt,钢笔,writing tool with ink,/pɛn/,握在手里让墨水留下字迹的工具。,Write with a pen.,用笔写。
pencil,pt,铅笔,writing tool with lead,/ˈpɛnsəl/,用石墨尖在纸上留下可擦痕迹。,Sharpen the pencil.,削铅笔。
